Neighbourhood Id,Neighbourhood,Total_2014,Total_2015,Total_2016,Total_2017,Total_AVG,Total_ch,Population,Total_Rate,Shape__Area,Shape__Length,Access to Child Care,Business Licensing,Businesses_08,Child Care Spaces_08,Inequality (Gini coeff.),Local Employment_08,Social Assistance Recipients_08,Businesses_11,Child Care Spaces_11,Debt Risk Score,Home Prices,Local Employment_11,Social Assistance Recipients_11
66,Danforth,224,252,220,229,231,0.04,16749,1379.18681712341,1119701.69262695,6233.419582543979,0.207407,97,413,144.0,0.406949,2991,621.0,414,152,755,585093,2786,626
67,Playter Estates-Danforth,143,136,156,136,143,-0.13,5266,2715.5336118495998,887604.501220703,4501.85717211445,0.466667,99,291,161.0,0.4002,2152,313.0,301,162,757,842668,2243,288
68,North Riverdale,96,121,106,104,107,-0.02,9173,1166.4668047530802,1786114.05541992,5475.767547617171,0.6,158,323,185.0,0.368739,3847,529.0,327,233,767,818592,4033,503
69,Blake-Jones,92,82,89,82,86,-0.08,9167,938.1477037198649,941218.879638672,4042.8685746775104,0.291304,94,139,58.0,0.43562,1618,1091.0,133,30,739,571246,1789,1021
70,South Riverdale,336,338,431,411,379,-0.05,32071,1181.75298556328,10964899.264892599,43081.5237210898,0.23396199999999998,460,1284,169.0,0.41198900000000005,14147,2707.0,1197,224,746,537087,12378,2695
71,Cabbagetown-South St.James Town,209,212,222,243,222,0.09,26421,840.240717610991,1417944.17529297,5759.12951244922,0.295238,102,282,30.0,0.42965,2408,990.0,290,0,744,537025,2513,986
72,Regent Park,198,183,178,192,188,0.08,11243,1672.1515609712699,650289.991210938,3258.9319450902503,0.10658699999999999,33,144,70.0,0.4672,1932,2711.0,143,30,701,484444,1931,2491
73,Moss Park,624,638,715,684,665,-0.04,18649,3565.8748458362397,1413053.09545898,6204.46522682385,0.424699,285,878,70.0,0.55553,11853,3081.0,841,110,709,457524,12051,3510
74,North St.James Town,300,312,299,287,300,-0.04,13513,2220.0843632058,424193.269042969,2574.42423821559,0.215484,80,246,85.0,0.410459,8306,2690.0,243,55,705,489366,6705,2681
75,Church-Yonge Corridor,1013,1103,1145,1447,1177,0.26,36499,3224.74588344886,1364581.01586914,6346.990752210229,0.40571399999999996,636,2492,45.0,0.43812,56050,2663.0,2443,45,736,410703,54044,3090
76,Bay Street Corridor,579,694,669,806,687,0.2,12877,5335.093577696671,1809306.05932617,6933.06211458745,0.529167,1163,4194,0.0,0.40551,175515,377.0,4324,30,755,457787,185891,678
77,Waterfront Communities-The Island,955,1043,1138,1230,1092,0.08,84915,1285.99187422717,13416467.4609375,18366.6146086148,0.5446810000000001,765,2895,92.0,0.391059,83326,3418.0,2899,130,748,416759,88058,2864
78,Kensington-Chinatown,565,602,580,699,612,0.21,13415,4562.05739843459,1534635.30297852,5024.41854148545,0.30491799999999997,565,1885,232.0,0.46173000000000003,34982,2482.0,1883,247,728,477989,37205,2523
79,University,277,229,256,264,257,0.03,10047,2557.9775057231,1405246.46728516,4971.8128991386,1.7,179,481,15.0,0.43018,9421,247.0,483,15,748,773920,10967,259
80,Palmerston-Little Italy,181,157,143,154,159,0.08,11436,1390.3462749213,1435281.36791992,4967.56552150326,0.507692,179,560,101.0,0.408039,3418,648.0,521,159,742,781568,3262,665
81,Trinity-Bellwoods,264,216,247,264,248,0.07,24358,1018.14598899745,1729651.87207031,5343.12402783401,0.26818200000000003,386,684,330.0,0.39691,4782,1663.0,715,332,742,723909,5380,1415
82,Niagara,273,289,242,251,264,0.04,24658,1070.64644334496,3241319.67773438,11006.5720512237,0.47222200000000003,193,590,45.0,0.397009,14987,853.0,591,65,747,398281,15621,1246
83,Dufferin Grove,117,124,109,97,112,-0.11,16937,661.274133553758,1387991.6796875,5148.3459491063395,0.295,217,350,90.0,0.41001899999999997,4112,1082.0,375,80,721,502736,4072,1303
84,Little Portugal,129,124,166,134,138,-0.19,15283,902.964077733429,1216355.27270508,5440.87472317877,0.084444,198,340,55.0,0.41713999999999996,2705,889.0,344,55,727,514960,2597,983
85,South Parkdale,203,266,281,259,252,-0.08,34420,732.1324811156301,2287045.5637207,10803.0106014782,0.23404299999999997,202,506,72.0,0.42236899999999994,7437,5463.0,564,70,695,500054,7617,4473
86,Roncesvalles,244,264,295,297,275,0.01,11358,2421.2009156541603,1504531.70922852,6163.79397889904,0.27826100000000004,252,570,120.0,0.44018900000000005,3066,2028.0,540,150,741,581425,2885,2268
87,High Park-Swansea,125,159,115,134,133,0.17,28462,467.289719626168,5357995.3425293,10614.3470062343,0.22051300000000001,212,465,202.0,0.380769,6394,752.0,448,229,770,622206,6594,1680
88,High Park North,163,237,197,226,206,0.15,12012,1714.9517149517098,1882301.6237793,6319.793105379189,0.3125,111,274,226.0,0.40981899999999993,2291,1014.0,254,241,759,609689,2577,1054
89,Runnymede-Bloor West Village,107,125,94,107,108,0.14,17358,622.191496716212,1593977.97705078,6748.070185553979,0.369231,79,332,175.0,0.358119,2430,241.0,334,220,777,666204,2421,251
90,Junction Area,185,192,187,195,190,0.04,4755,3995.7939011566796,2631875.80419922,7789.292596157041,0.195349,271,561,30.0,0.40801,6331,1194.0,631,30,733,532997,6528,1155
